aplikasi sangat berat optimalisasi seperti kotoran binatang pembaruan sangat rutin tetapi optimalisasi tidak pernah ada peningkatan menjalankan aplikasi mysmartfren jelas lebih berat dari pada bermain permainan mobile legend bang bang bahkan perangkat saya mampu menjalankannya di rasio penyegaran layar hz ironis	negative
aplikasi provider tapi lelet banget mau beli paket atau pulsa aja susah banget lama menguras kesabaran banget mending beli di marketplace bonus dipake buat check out ga muncul otomatis systemnya dibenerin lah kalo bukan karena udah lama make nomer ini ga ngisi buat perpanjangan masa aktif	negative
saya dari sampai suka langganan pakai smartfren terutama dengan fitur unlimited dan unlimited malamnya tapi sangat disayangkan sekarang unlimited malam udah nggak ada semoga aja di aktifkan lagi unlimited malam terima kasih 	positive
aplikasi nya sangat lemot padahal paketan nya baru ngisi sinyal juga oke pas mau ngecek treasure hunt aja nggak bisa apalagi check in coin wah luama sekali pas udah top up pulsa peringkat juga nggak naik ajek ngomo kui teros pie to kiee padahal aku sudah menggunakan tahun kok nggak ada bedanya tolong diperbaiki secepatnya mksh 	negative
kecepatan memang sdh ok tapi y itu hy utk wilayah tertentu saja krg menyeluruh bp ibu yth terlebih jika kita berada area basement hp seperti ky mode pesawat nol signal weallah sy selaku pengguna tetap berharap ad perubahan dlm hal ini sukses my sf 	neutral
aplikasinya berat sangat berat kukira handphone ku yg lagging ternyata memang aplikasinya padahal handphone saya ram gb untuk berpindah antar menu lama sangat ini mungkin karena animasi dan game yg tidak terlalu berguna ui nya buruk membuat bingung saya ga butuh animasi yg aneh yg penting apk nya ringan dan simpel untuk smartfren mungkin harus mendatangkan ahli it dari india atau china kalau ga mampu jgn sungkan 	negative
 kalau ada nilai minus saya kasih minus karena tidak ada saya kasih nilai dari sebagai pengguna smartfrend yy sudah lama saya sangat kecewa dgn aplikasi ini krn lemot lambat dan kurang responsif sangat lambat buka menu saja bisa lama sangat mengecewakan smartfrind ayo dong kembangkan aplikasimu ini paling tidak separuhnya dari kemampuan aplikasi merah lah masak kalah total seperti jni 	negative
sayang jaringan sering lag coba jaringanya stabil pelanggan akan lebih senang dan jangan publikasikna jaringan g dulu kalau masih tahap uji coba karna kestabilan jaringan dan speednya malah jauh dibawah g biasa malah serasa pakai jaringan e kalau sedang g saran dari pelanggan terlamamu saya mending jaringan di g biasa malah bagus kestabilannya dan speednya dapet jangan mencoba apa yg belum sesuai karna kepuasan pelangganlah yg di pertaruhkan 	neutral
saya pengguna lama jujur aplikasinya berat dan lelet banget kadang greget sendiri karna butuh beli kuota cepet tapi aplikasi nya ngga mendukung malah kadang berujung ngga jadi beli lelet nya sudah dari awal penggunaan dan ternyata sampai sekarang sama sekali ngga berubah dan ngga di improve juga ya sayang sekali 	negative
aplikasi tai beli kuota pembayarannya berhasil pulsa berkurang tapi kuotanya blm masuk sebelumnya tukar poin dgn pulsa internet penukaran berhasil dan poin berkurang tapi pulsa internetnya ga masuk pulsa habis kuota ga dapat poin jg habis tapi ga dapat apa hilang semua heran itu semua yg hilang larinya kemana klo soal lelet jgn ditanya super lelet mending saya hapus aplikasinya dan ganti kartu lain aja 	negative
ya ampun kenapa pas di perbarui mau beli paketan internet aja susah nya minta ampun diklik ga langsung muncul pas udah pilih paketan nya malah loading mulu sabar nungguin sampe menit masih loading juga tolong lah smartfren makin kesini tuh aplikasi makin banyak bug nya saya berlangganan sudah tahun lebih tapi aplikasi nya malah bikin darah tinggi 	negative
kenapa setelah diperbaharui apalikasinya aplikasi telepon aplikasi kontak serta aplikasi sms susah di dibuka sama sekali gimana mau isi paket pulsa paket data dari ketiga nya sama sekali ga bs di buka serta jaringan suka lemot dikala cuaca panas apalagi hujan 	negative
aplikasi lemoot loading terus padahal internet ada buka aplikasi lain lancar hanya di aplikasi smartfren saja yang loading teruss sudah hapus cache hapus data dan sudah update sama saja gak ada yang berubah 	neutral
ini adalah aplikasi provider terburuk perlu waktu puluhan menit atau bahkan sampai jam hanya untuk membeli kuota internet ui nya begitu buruk lambat dan tidak responsif perlu waktu lama untuk setiap tombol merespon tepat waktu butuh sekitar menit bahkan untuk berpindah sesi seperti pembayaran developer lebih dikembangkan lagi ini aplikasi buruk jangan hanya menambah nambah menawarkan produk yang tak berguna atau games yang merugikan pengguna tpi kembangkan dulu itu ui nya yg buruk	negative
aplikasi ter gajelas mau bayar aja dipersulit coba developer tingkatin lagi ui ux nya aplikasi lelet pol fitur fiturnya juga aneh saya beli promo kuota gb terus mau liat riwayat pembelian tapi gaada aplikasi provider tergaenak kalo mau bagus itu kayak ui ux nya by u min	negative
untuk menu dan fitur lengkap bagus dan eventnya juva menarik tapi min jangan cuma bales kami mengerti blablablabla doang benerin dong aplikasinya masa cuma buat check sisa kuota isi pulsa beli paketan aja lama nya minta ampun versi sebelumnya malah lancar lancar aja kok bisa lah yok bisa dibenerin lagi aplikasinya 	negative
harusnya adanya app mobile bisa membantu pelanggan tapi app nya susah digunakan ui dan ux designnya yang setelah update malah membingungkan serta app yang susah dibuka loading lama sekali sampai jam cuma menampilkan logo smartfren 	negative
pengalaman pake aplikasinya kurang responsif dan ngelag bikin ngga nyaman buat ngecek kuota dan beli pulsa paket di aplikasi seharusnya lancar karena pake sinyal g smartfren yang berlimpah tetapi berkebalikan selain itu sudah bagus sama harga paketnya wajar dan terjangkau semoga aplikasinya bisa lebih lancar lagi 	positive
aplikasi yang sangat amat tidak nyaman untuk digunakan makin banyak update tapi tetap tidak ada perubahan semua serba lemot saya sampai perlu bantuan wifi dan beberapa kali menutup aplikasi untuk melakukan pembelian paket sangat menyita waktu terkadang juga ada pembelian yang gagal tapi pulsa tetap hilang e erience paling buruk yang pernah saya rasakan 	negative
aplikasi sudah tidak seperti dulu lagi setelah diperbaharui malah tambah lemot untuk melihat kuota membeli kuota saja membutuhkan waktu yang sangat bahkan sering keluar sendiri semoga segera diperbaiki kembali untuk apk ini	negative
padahal dulu ini smartfren enak dipake aplikasi nya tapi kok semakin ke sini semakin sering update mana pas sudah selesai update selalu berubah lagi sebelum update itu lancar tapi pas setelah di update kok internetnya jadi nggak stabil	negative
