lemot loading lama pdhl udh di pencet tapi tidak mau muncul aplikasi sampah	negative
akhir akhir ini proses pergantian nomor melalui aplikasi website smartfren sering gagal saat melanjutkan proses customer service sudah cek kartu nomor sudah memenuhi syarat namun tidak paham dimana letak masalah yang mengakibatkan kondisi tersebut jika pitur aplikasi sering bermasalah saat diakses seharusnya diperbaiki atau layanan tersebut dikembalikan seperti dahulu diakses melalui sms dial panggilan mohon diperbaiki terima kasih	neutral
ini kenapa kartu smarfren lemot sekali kemarin malem padahal pake unlimited yang hari sepuasnya sama kaya yang unlimited hari jaringan juga full masa mau masuk ke aplikasi my sf aja ga bisa dan ada tulisan tidak ada koneksi internet terdeteksi silahkan coba lagi beberapa saat tolong ya perbaiki kayu yang dulu kalo yang dulu bagus kok jaringan nya enggak kaya yang sekarang parah banget lemot lagi 	neutral
merasa dirugikan saya pake unlimited belum mencapai fup tapi speednya udah hilang udah kena batas wajar padahal masih jauh dari batas penggunaan makin lama sinyal bukan makin bagus malah makin jelek pula	negative
apk nya sangat bagus saya juga selalu dapat kuota gratis dari apk ini thanks you dan jaringan nya pun bagus	positive
jaringan mantap dan harga kuota murah smartfren memang mantap	positive
pembelian sih nggak ribet ya tapikenapainternetsosmednggakbisabuatbuka instagram yang kayak gini teh nyusahin udah kebeli eh malah nggak bisa digunain useless 	negative
lemot lelet banget apknya mohon segera diperbaiki kasih bintang kalau sudah lancar	negative
aplikasi kadang keluar sendiri dan jaringan smartfren sendiri sangat buruk jaringan g nya sangat lelet malahan lebih cepat jaringan g kartu yg lain di jojga solo sekitarnya jaringan smartfren sinyalnya sangat buruk	negative
selalu puas dengan smartfren baik aplikasinya ataupun layanannya semoga kedepannya dapat ditingkatkan lagi yaa 	positive
murah dan lancar mudah an kedepan semakin sukses 	positive
kenapa aplikasi sf lemot banget mohon diperbaiki makasih 	positive
semakin lama semakin buruk pada koneksi internetnya padahal bar signal penuh kouta banyak setatus g masa iya sih lelet banget apknya sering berjalan lambat atau waktu koneksi habis untuk membuka web selelu lama dan bikin pusing 	negative
